entidad,proyecto,count
Bomberos,Acuícola,2
Bomberos,Agroindustria,2
Bomberos,Aguas servidas,2
Bomberos,Celulosa,2
Bomberos,ERNC,2
Bomberos,Gran Miner’a,2
Bomberos,Hidro,2
Bomberos,Hospitales,2
Bomberos,Metro,2
Bomberos,Planta Desaladora,2
Bomberos,Qu’micos,2
Bomberos,Residencial,2
Bomberos,Transmisi—n,0
Bomberos,Vialidad,0
Conservador de Bienes Ra’ces (CBR),Acuícola,0
Conservador de Bienes Ra’ces (CBR),Agroindustria,0
Conservador de Bienes Ra’ces (CBR),Aguas servidas,0
Conservador de Bienes Ra’ces (CBR),Celulosa,0
Conservador de Bienes Ra’ces (CBR),ERNC,0
Conservador de Bienes Ra’ces (CBR),Gran Miner’a,0
Conservador de Bienes Ra’ces (CBR),Hidro,0
Conservador de Bienes Ra’ces (CBR),Hospitales,2
Conservador de Bienes Ra’ces (CBR),Metro,0
Conservador de Bienes Ra’ces (CBR),Planta Desaladora,0
Conservador de Bienes Ra’ces (CBR),Qu’micos,0
Conservador de Bienes Ra’ces (CBR),Residencial,3
Conservador de Bienes Ra’ces (CBR),Transmisi—n,0
Conservador de Bienes Ra’ces (CBR),Vialidad,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Acuícola,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Agroindustria,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Aguas servidas,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Celulosa,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),ERNC,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Gran Miner’a,2
Comisi—n Chilena de Energœa Nuclear (CCHEN),Hidro,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Hospitales,12
Comisi—n Chilena de Energœa Nuclear (CCHEN),Metro,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Planta Desaladora,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Qu’micos,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Residencial,0
Comisi—n Chilena de Energœa Nuclear (CCHEN),Transmisi—n,1
Comisi—n Chilena de Energœa Nuclear (CCHEN),Vialidad,0
Consejo de Defensa del Estado (CDE),Acuícola,0
Consejo de Defensa del Estado (CDE),Agroindustria,0
Consejo de Defensa del Estado (CDE),Aguas servidas,0
Consejo de Defensa del Estado (CDE),Celulosa,0
Consejo de Defensa del Estado (CDE),ERNC,0
Consejo de Defensa del Estado (CDE),Gran Miner’a,0
Consejo de Defensa del Estado (CDE),Hidro,0
Consejo de Defensa del Estado (CDE),Hospitales,0
Consejo de Defensa del Estado (CDE),Metro,1
Consejo de Defensa del Estado (CDE),Planta Desaladora,0
Consejo de Defensa del Estado (CDE),Qu’micos,0
Consejo de Defensa del Estado (CDE),Residencial,0
Consejo de Defensa del Estado (CDE),Transmisi—n,0
Consejo de Defensa del Estado (CDE),Vialidad,0
Coordinador El_ctrico Nacional (CEN),Acuícola,1
Coordinador El_ctrico Nacional (CEN),Agroindustria,0
Coordinador El_ctrico Nacional (CEN),Aguas servidas,1
Coordinador El_ctrico Nacional (CEN),Celulosa,1
Coordinador El_ctrico Nacional (CEN),ERNC,2
Coordinador El_ctrico Nacional (CEN),Gran Miner’a,1
Coordinador El_ctrico Nacional (CEN),Hidro,2
Coordinador El_ctrico Nacional (CEN),Hospitales,0
Coordinador El_ctrico Nacional (CEN),Metro,0
Coordinador El_ctrico Nacional (CEN),Planta Desaladora,1
Coordinador El_ctrico Nacional (CEN),Qu’micos,1
Coordinador El_ctrico Nacional (CEN),Residencial,0
Coordinador El_ctrico Nacional (CEN),Transmisi—n,2
Coordinador El_ctrico Nacional (CEN),Vialidad,0
Contralor’a General de la Repœblica,Acuícola,0
Contralor’a General de la Repœblica,Agroindustria,0
Contralor’a General de la Repœblica,Aguas servidas,0
